,Headlines,Day,Month,Date,Year,No. Comments,Author
0,"Tesla won't share data from its cars with U.S., Musk assures Chinese",Yesterday,10:,PM,2021,64,SA News
1,"ARK Invest fires off $3,000 price target on Tesla",Yesterday,1:2,PM,2021,598,SA News
2,"U.S. regulators are looking at nearly two dozen Tesla crashes, report says",Fri,Mar,19,2021,234,SA News
3,Tesla cars banned by Chinese military over camera concern,Fri,Mar,19,2021,166,SA News
4,Tesla priced out of new UK list for EV subsidies,Thu,Mar,18,2021,200,SA News
5,"Climate policy expert says subsidies for Tesla and other EV companies ""one of the worst ways to cut carbon emissions""",Wed,Mar,17,2021,869,SA News
6,Tesla's Autopilot lands in the spotlight again,Wed,Mar,17,2021,599,SA News
7,Volkswagen and Apple vs. Tesla called likely electric vehicle scenario,Tue,Mar,16,2021,299,SA News
8,Electric stuff from Volkswagen sends EV stocks higher,Mon,Mar,15,2021,175,SA News
9,Tesla management changes suggest added focus on trucks and Bitcoin,Mon,Mar,15,2021,126,SA News
10,Elon Musk becomes Technoking of Tesla,Mon,Mar,15,2021,192,SA News
11,Elon Musk and Tesla board sued for erratic tweets that hurt shares,Fri,Mar,12,2021,304,SA News
12,Tesla seen being a $3 trillion stock by 2030,Fri,Mar,12,2021,489,SA News
13,Tesla looks to advance electric vehicle plans in India,Fri,Mar,12,2021,72,SA News
14,"Tesla rallies after price hikes, Mizuho bull call",Thu,Mar,11,2021,151,SA News
15,Tesla expected to have battery cost advantage until 2030,Wed,Mar,10,2021,360,SA News
16,Hackers breach Verkada surveillance cameras at Tesla and others,Wed,Mar,10,2021,26,SA News
17,Tesla leads big day of recovery for electric vehicle stocks,Tue,Mar,09,2021,233,SA News
18,"Tesla rallies off strong China sales read, New Street upgrade",Tue,Mar,09,2021,211,SA News
19,"SpaceX wants to beam Starlink internet to big vehicles, not Teslas",Tue,Mar,09,2021,44,SA News
20,Tesla nabs market share in China from key rivals,Tue,Mar,09,2021,155,SA News
21,Tesla and CureVac developing a mRNA printer for personalized medicine,Mon,Mar,08,2021,156,SA News
22,House Democrats to push electric vehicle legislation,Mon,Mar,08,2021,417,SA News
23,Tesla aims to plug in gigantic battery to Texas grid,Mon,Mar,08,2021,276,SA News
24,"As Tesla plunges, what's behind the stock's recent moves?",Mon,Mar,08,2021,256,SA News
25,Electric vehicle stocks cool as legislation hopes warm,Sat,Mar,06,2021,356,SA News
26,Seeking Alpha Catalyst Watch,Fri,Mar,05,2021,22,SA News
27,Electric vehicle stocks sell off to put investors to the test,Fri,Mar,05,2021,363,SA News
28,Tesla secures supply of nickel,Fri,Mar,05,2021,218,SA News
29,Tesla halo fades with electric vehicle stocks falling sharply,Thu,Mar,04,2021,442,SA News
30,Electric vehicle stock sell-off called 'massive' buying opportunity,Thu,Mar,04,2021,461,SA News
31,Ron Baron says he sold some Tesla stock for clients,Thu,Mar,04,2021,55,SA News
32,Stock picks for the zero-emission commercial vehicle transition,Wed,Mar,03,2021,143,SA News
33,Chinese auto stocks expected to roll past near-term chip shortage issue,Tue,Mar,02,2021,56,SA News
34,"Watch earnings, not rates, Citi says: At the Open",Tue,Mar,02,2021,14,SA News
35,Tesla's strong ecosystem seen reducing risk of being 'Blackberried',Tue,Mar,02,2021,157,SA News
36,California city becomes first in U.S. to ban new gas stations,Tue,Mar,02,2021,1243,SA News
37,Tesla loses ground in European battery EV market,Mon,Mar,01,2021,520,SA News
38,Tesla shares now below high hit ahead of S&P entry; Musk tweets Fremont restarted,Thu,Feb,25,2021,263,SA News
39,Tesla lower as temporary Model 3 halt linked to chip shortage,Thu,Feb,25,2021,161,SA News
40,Tesla temporarily halts production at Model 3 line in California - Bloomberg,Thu,Feb,25,2021,278,SA News
41,ARK Invest buys more Tesla amid stumble in electric vehicle stocks,Tue,Feb,23,2021,305,SA News
42,"Tesla is in the hands of Reddit, Barclays says",Tue,Feb,23,2021,221,SA News
43,Auto sector jolted by intense selling in electric vehicle stocks,Tue,Feb,23,2021,141,SA News
44,Churchill Capital Corp. IV stock sinks following Lucid Motors deal (Update),Tue,Feb,23,2021,51,SA News
45,"Tesla, Churchill Capital pace big downturn in electric vehicle stocks",Tue,Feb,23,2021,142,SA News
46,Lucid Motors cuts widely anticipated SPAC deal with Churchill Capital Corp. IV (Update),Mon,Feb,22,2021,184,SA News
47,Tesla leads electric vehicle sector down as investors test drive value stocks,Mon,Feb,22,2021,215,SA News
48,Electric Vehicle 2020 U.S. share peaks to record levels: IHS Markit,Mon,Feb,22,2021,71,SA News
49,Six stocks hedge funds and mutual funds love (and 20 they don't): At the Open,Mon,Feb,22,2021,75,SA News
50,Elon Musk says Bitcoin price seems 'high' after eclipsing $1 trillion,Sun,Feb,21,2021,335,SA News
51,Tesla racks up $1B profit on Bitcoin and counting,Sat,Feb,20,2021,550,SA News
52,"ARK Invest's Cathie Wood on how to be a growth investor, and why Palantir and Tesla fit",Sat,Feb,20,2021,235,SA News
53,Real-rate rally threatens the TINA trade and megacap dominance: Alpha Tactics,Sat,Feb,20,2021,88,SA News
54,Massive electric vehicle disruption to test investors,Sat,Feb,20,2021,573,SA News
55,"Tesla likes Bitcoin vs. cash, but what about vs. CapEx? – At the Open",Fri,Feb,19,2021,54,SA News
56,Cathie Wood's ARK Innovation buys the dip in Palantir and Tesla,Fri,Feb,19,2021,457,SA News
57,Elon Musk makes the case for Bitcoin: 'Only a fool wouldn't look elsewhere',Fri,Feb,19,2021,215,SA News
58,GameStop Congressional hearing: Roaring Kitty says he's still buying GameStop (update),Thu,Feb,18,2021,105,SA News
59,Volkswagen stock rallies in Frankfurt on reports of possible Porsche IPO,Thu,Feb,18,2021,29,SA News
60,"Tesla cuts prices of cheaper Model 3, Model Y versions",Thu,Feb,18,2021,263,SA News
61,Ford goes 'all-in' on electric vehicles in Europe,Wed,Feb,17,2021,287,SA News
62,Early Tesla launch in India seen paying off in long term,Tue,Feb,16,2021,128,SA News
63,Gigafactory 6? Tesla setting up next plant in southern India,Sun,Feb,14,2021,281,SA News
64,ARK Invest confident Tesla is legitimizing Bitcoin as corporate cash,Sat,Feb,13,2021,413,SA News
65,Tesla ordered by German regulator to recall 12K cars,Fri,Feb,12,2021,46,SA News
66,"Tesla, Nio and Li Auto may be hit by battery cell shortage",Thu,Feb,11,2021,349,SA News
67,"Elon Musk and Tesla are Bitcoin investors, is this the year for a Bitcoin ETF?",Wed,Feb,10,2021,134,SA News
68,Tesla sales in China account for more than a fifth of total revenue,Tue,Feb,09,2021,86,SA News
69,"Stimulus hopes fuel market gains, Bitcoin jumps over $47K",Tue,Feb,09,2021,28,SA News
70,Tesla has 'de-risked' purchase of Bitcoin by public companies - Microstrategy's Saylor,Mon,Feb,08,2021,607,SA News
71,Tesla-Bitcoin shocker expected to add to momentum story both ways,Mon,Feb,08,2021,297,SA News
72,Bitcoin tops $42K after Tesla invests in crypto,Mon,Feb,08,2021,406,SA News
73,Tesla seen passing on firing off huge M&A deal,Mon,Feb,08,2021,45,SA News
74,China's car sales increased 25.7% in January,Mon,Feb,08,2021,87,SA News
75,Green tidal wave seen for automobile industry after Ford and GM go all-in,Fri,Feb,05,2021,314,SA News
76,EV Investment growth to exceed renewable energy investments - Bloomberg,Wed,Feb,03,2021,58,SA News
77,New vehicle sales up 5 % in 4Q20 but declined 14.7% for FY2020 - BBVA Research,Wed,Feb,03,2021,33,SA News
78,Exploring the infrastructure landscape after Buttigieg confirmation,Wed,Feb,03,2021,220,SA News
79,U.S. Electric Vehicle market set to achieve record sales in 2021 - Edmunds,Tue,Feb,02,2021,150,SA News
80,Tesla agrees to recall 135K vehicles due to touchscreen issues,Tue,Feb,02,2021,489,SA News
81,"Morgan Stanley's math on Tesla teases out $3,000 per share",Mon,Feb,01,2021,312,SA News
82,Tesla in line for big subsidy from Germany,Mon,Feb,01,2021,167,SA News
83,Tesla gains after Piper says more fireworks are on the way,Mon,Feb,01,2021,113,SA News
84,Ark Invest sees Tesla powering right through battery cell constraints,Mon,Feb,01,2021,74,SA News
85,Coinbase Global announces plan to go public via direct listing just as Bitcoin's price soars,Fri,Jan,29,2021,71,SA News
86,GM's electric push to set off sparks across the electric vehicle sector,Thu,Jan,28,2021,285,SA News
87,Tesla investors bet on scale over margins,Thu,Jan,28,2021,103,SA News
88,Megacap stocks also facing ‘perverse’ post-earnings action: At the Open,Thu,Jan,28,2021,27,SA News
89,Tesla peels off 5% as investors balance sky-high expectations,Wed,Jan,27,2021,338,SA News
90,Morgan Stanley dives into winners/losers in greener federal energy policies,Wed,Jan,27,2021,177,SA News
91,"Tesla knocks out another profit, floats 50% deliveries growth target",Wed,Jan,27,2021,337,SA News
92,"Tesla EPS misses by $0.25, beats on revenue",Wed,Jan,27,2021,329,SA News
93,Tesla earnings on tap: Analysts highlight what to expect,Wed,Jan,27,2021,54,SA News
94,'Gamestonk!!' - Musk joins the retail bros' battle against Citron,Wed,Jan,27,2021,230,SA News
95,Tesla Q4 2020 Earnings Preview,Tue,Jan,26,2021,33,SA News
96,European Union market for commercial vehicles declined 4.2% in December,Tue,Jan,26,2021,12,SA News
97,"Tesla, BMW, Stellantis to receive electric vehicle battery aid in Europe",Tue,Jan,26,2021,45,SA News
98,Analysts start gearing up for Tesla earnings day,Tue,Jan,26,2021,33,SA News
99,Where are the driverless cars? Waymo CEO warns of 'extraordinary grind',Mon,Jan,25,2021,307,SA News
100,Nasdaq futures climb 1% ahead of big week for tech earnings,Mon,Jan,25,2021,51,SA News
101,Consumer recovery favorites like Carnival make a case for 2021 this week: Sector Watch,Sun,Jan,24,2021,9,SA News
102,Job openings suggest Tesla Semi may be moving closer to production,Sun,Jan,24,2021,282,SA News
103,Seeking Alpha Catalyst Watch,Fri,Jan,22,2021,53,SA News
104,Nio named China's EV 'heir apparent' by Nomura; stock gets Buy rating,Fri,Jan,22,2021,132,SA News
105,"Tesla, Crispr add most bang to ARK Innvoation ETF in Q4; Zoom, Compugen are biggest drags",Thu,Jan,21,2021,44,SA News
106,Stocks expected to land in space ETFs include 'enabling' tech names,Thu,Jan,21,2021,95,SA News
107,Tesla sees strong demand for Model Y vehicles in California,Thu,Jan,21,2021,74,SA News
108,Short seller Jim Chanos says he changed his Tesla short into put position,Wed,Jan,20,2021,204,SA News
109,Electric vehicle shocker: StoreDot develops battery that can be charged in five minutes,Wed,Jan,20,2021,543,SA News
110,Tesla lands Street-high price target from Oppenheimer,Wed,Jan,20,2021,149,SA News
111,A Biden presidency could make these stocks attractive picks: Kiplinger,Tue,Jan,19,2021,292,SA News
112,Tesla Model Y deliveries in China have officially begun,Tue,Jan,19,2021,81,SA News
113,Tesla is the only megacap with leverage heading into earnings: Alpha Tactics,Sat,Jan,16,2021,234,SA News
114,Tesla forecast to deliver one million cars in 2022,Fri,Jan,15,2021,425,SA News
115,Electric vehicle sector in focus as Democrat control in DC nears,Thu,Jan,14,2021,251,SA News
116,Tesla's Model Y earns top scores from NHTSA,Wed,Jan,13,2021,194,SA News
117,Alibaba and Foxconn the latest to charge into the electric vehicle world,Wed,Jan,13,2021,146,SA News
118,Tesla launches its Indian unit in Bengaluru; names three directors,Wed,Jan,13,2021,161,SA News
119,Mistaken Identity company Signal Advance plunges after spike in last few days,Tue,Jan,12,2021,56,SA News
120,"Tesla pulled an Apple move in self-driving, leaving Apple Car 'way behind' - ARK Investment",Tue,Jan,12,2021,345,SA News
121,Mistaken identity sends microcap Signal Advance Inc. soaring,Mon,Jan,11,2021,98,SA News
122,Tesla lands higher targets from Bank of America,Mon,Jan,11,2021,111,SA News
123,ARK Investment’s Wood will talk markets in big week for biotech: Sector Watch,Sun,Jan,10,2021,113,SA News
124,How many stimulus checks ended up in the stock market?,Sun,Jan,10,2021,331,SA News
125,Tesla jumps another 5% as Blue Sweep adds to confidence,Fri,Jan,08,2021,386,SA News
126,Lemonade jumps 19% after Motley Fool pitches stock again,Thu,Jan,07,2021,151,SA News
127,Electric vehicle stocks race higher after election wildcards finally settled,Thu,Jan,07,2021,141,SA News
128,Apple Car not expected to lead to Blackberry-like flameout for Tesla,Thu,Jan,07,2021,143,SA News
129,"Big Tech stocks stumble, electric vehicle stocks gain as Georgia election digested",Wed,Jan,06,2021,227,SA News
130,Tesla nabs Street-high $810 PT at Morgan Stanley after strong Q4 deliveries,Tue,Jan,05,2021,363,SA News
131,Electric truck startup Rivian raises more funds,Tue,Jan,05,2021,79,SA News
132,"Bill Gross sees SPACs, growth stocks struggling in 2021, likes natgas pipelines",Tue,Jan,05,2021,70,SA News
133,Tesla seen by Exane shedding 50% in tech titan reckoning,Tue,Jan,05,2021,201,SA News
134,"Byron Wien's ""10 Surprises also rans"" include TSLA buying a major auto company",Mon,Jan,04,2021,133,SA News
135,Tesla preps for splashy launch in Israel,Mon,Jan,04,2021,66,SA News
136,Electric vehicle stocks rally after strong demand reports from China,Mon,Jan,04,2021,49,SA News
137,"Chinese EV ends 2020 on record high deliveries, expects 1.8M units sales in 2021",Mon,Jan,04,2021,58,SA News
138,Tesla races to new high after hitting Q4 and 2020 deliveries targets,Mon,Jan,04,2021,171,SA News
139,"Tesla tops Q4 deliveries expectations, just shy of 500K for 2020",Sat,Jan,02,2021,1204,SA News
140,"Tesla prices Model Y competitively in China, deliveries start this month",Fri,Jan,01,2021,382,SA News
141,"Tesla leads list of 2020's biggest winners on both S&P 500, Nasdaq 100",Thu,Dec,31, 2020,164,SA News
142,Tesla aiming at $700 to close out 2020 after taking shorts for $38B: At the Open,Thu,Dec,31, 2020,300,SA News
143,The same stocks keep making the year's winners and losers list,Wed,Dec,30, 2020,62,SA News
144,Spotify catches price target boost with shares in solid technical territory: At the Open,Wed,Dec,30, 2020,4,SA News
145,"Tesla could hit 500K deliveries in 2020, 1M by 2022, analyst says",Wed,Dec,30, 2020,350,SA News
146,China's Yahua to supply lithium to Tesla in five-year deal,Tue,Dec,29, 2020,48,SA News
147,"Tesla working to add Apple, Amazon Music to in-car system - electrek",Mon,Dec,28, 2020,75,SA News
148,"Vehicle sales continue to rebound in December, TrueCar says",Mon,Dec,28, 2020,130,SA News
149,Gigafactory 6? Tesla sets sights on India,Mon,Dec,28, 2020,202,SA News
150,Tesla’s choppy action unlikely to calm like other S&P entrants: Alpha Tactics,Sat,Dec,26, 2020,91,SA News
151,Apple Car developments could kickstart big auto-tech partnerships in 2021,Sat,Dec,26, 2020,262,SA News
152,"Space investing could be a major theme in 2021 with Voyage Space, SpaceX looking at IPOs",Thu,Dec,24, 2020,167,SA News
153,"Apple seen partnering in electric vehicles with Tesla, Volkswagen or Nio",Wed,Dec,23, 2020,342,SA News
154,Elon Musk says Apple wouldn't take meeting on Tesla acquisition,Tue,Dec,22, 2020,448,SA News
155,Tesla shares down 8.5% since S&P inclusion,Tue,Dec,22, 2020,87,SA News
156,Tesla still the clear leader in electric vehicle performance - Ark Invest,Tue,Dec,22, 2020,155,SA News
157,Apple analysts question plans for low-margin self-driving vehicle,Tue,Dec,22, 2020,149,SA News
158,European Union market for commercial vehicles +0.1% in November,Tue,Dec,22, 2020,6,SA News
159,Tesla expected to navigate around iCar threat,Mon,Dec,21, 2020,193,SA News
160,Apple said to be pushing ahead on self-driving car in challenge to Tesla,Mon,Dec,21, 2020,647,SA News
161,Tesla trades lower into big S&P 500 Index debut,Mon,Dec,21, 2020,154,SA News
162,Tesla’s S&P arrival means further split for consumer discretionaries: Sector Watch,Sun,Dec,20, 2020,43,SA News
163,Tesla chief Elon Musk has some fun with Bitcoiners,Sun,Dec,20, 2020,372,SA News
164,Global auto sales momentum will pick up in 2021: IHS Markit,Fri,Dec,18, 2020,36,SA News
165,Tesla stock hits all-time high on last trading day before S&P 500 call-up,Fri,Dec,18, 2020,163,SA News
166,Big swings expected as Tesla heads into S&P 500,Fri,Dec,18, 2020,108,SA News
167,Tesla cruises toward investment grade rating at S&P,Thu,Dec,17, 2020,150,SA News
168,Tesla and Toyota among automakers to meet braking safety commitment,Thu,Dec,17, 2020,80,SA News
169,Tesla announces extended production shutdown for Model S and X,Sun,Dec,13, 2020,419,SA News
170,Tesla to trek to Indonesia in nickel hunt,Sat,Dec,12, 2020,100,SA News
171,"CFRA names winners, losers in top 10 predictions for auto market in 2021",Fri,Dec,11, 2020,5,SA News
172,Tesla shares downgraded to Hold at Jefferies despite 'messianic brand' positioning,Fri,Dec,11, 2020,123,SA News
173,China's Auto sales saw double-digit growth in November led by EV sales,Fri,Dec,11, 2020,79,SA News
174,"NIO readies equity offering, joins other EVs in raising funds",Thu,Dec,10, 2020,202,SA News
175,Steel Dynamics pops on rumors of Cybertruck supply deal,Thu,Dec,10, 2020,27,SA News
176,"Tesla expected to double GM's capex, R&D spending as it taps its 'war chest'",Thu,Dec,10, 2020,166,SA News
177,China expected to see eye-popping electric vehicle demand in the next two years,Thu,Dec,10, 2020,184,SA News
178,"Tesla stock correction would be no surprise, but shares aren't historically overbought",Wed,Dec,09, 2020,196,SA News
179,JPMorgan doubles down on bearish Tesla thesis,Wed,Dec,09, 2020,602,SA News
180,XPeng prices upsized $2.2B offering at $45/ADS; shares -3%,Wed,Dec,09, 2020,16,SA News
181,Musk keeps operations in California despite move to Texas,Wed,Dec,09, 2020,225,SA News
182,Momentum revs back up in Chinese electric vehicle sector after strong sales report,Tue,Dec,08, 2020,47,SA News
183,Tesla capital raise called a smart move; shares fall 2%,Tue,Dec,08, 2020,456,SA News
184,Tesla announces up to $5B capital raise in ATM offering,Tue,Dec,08, 2020,210,SA News
185,Tesla cruises to new all-time high as bulls ratchet up expectations,Mon,Dec,07, 2020,418,SA News
186,Tesla's strategy could include ride-hail service before robotaxi launch,Sat,Dec,05, 2020,352,SA News
187,U.S. auto industry outlook for 2021 improves - Fitch,Thu,Dec,03, 2020,50,SA News
188,"Jim Chanos cuts 'painful' Tesla short, sticks with bear bet on IBM",Thu,Dec,03, 2020,377,SA News
189,Tesla +2.9% as Goldman upgrades to Buy on sales/margin outlook,Wed,Dec,02, 2020,261,SA News
190,Tesla open to talks on auto merger if it was a 'good idea',Tue,Dec,01, 2020,308,SA News
191,Elon Musk pushes Tesla employees to cut costs in 'Game of Pennies',Tue,Dec,01, 2020,176,SA News
192,Tesla gains as it heads for S&P 500 inclusion all at once,Tue,Dec,01, 2020,32,SA News
193,Tesla rallies after S&P decision on full float-adjusted market cap weight,Mon,Nov,30, 2020,141,SA News
194,Tesla wins approval to sell Model Y SUV in China,Mon,Nov,30, 2020,148,SA News
195,China is called the future Silicon Valley of the electric vehicle world,Sat,Nov,28, 2020,455,SA News
196,Volkswagen raises electric vehicle targets in Europe,Fri,Nov,27, 2020,131,SA News
197,U.S. agency to conduct inquiry into Tesla vehicles over suspension issue - Reuters,Fri,Nov,27, 2020,54,SA News
198,Tesla plans to manufacture electric car chargers in China,Wed,Nov,25, 2020,146,SA News
199,Electric vehicle sector is under pressure following dizzying rally,Wed,Nov,25, 2020,172,SA News
200,Failure of Brexit deal could cost UK car industry $74B by 2025,Wed,Nov,25, 2020,96,SA News
201,European Union market for commercial vehicles down 1.2% in October,Wed,Nov,25, 2020,96,SA News
202,Carbon Pricing: A weapon to tame CO2 emissions,Tue,Nov,24, 2020,186,SA News
203,Tesla blows past $500B cap as investors look to an EV future,Tue,Nov,24, 2020,179,SA News
204,"Elon Musk, Fuel Tech (FTEK) stock, FuelCell, Plug Power, CLNE and more: Green energy roundup",Tue,Nov,24, 2020,51,SA News
205,Tesla up more than 6% and almost adds a Ford to its market cap,Mon,Nov,23, 2020,270,SA News
206,"Electric vehicle names head higher led by Kandi (KNDI) stock, Ayro, and Li Auto",Mon,Nov,23, 2020,126,SA News
207,Tesla gains after Wedbush points to major inflection of global EV demand,Mon,Nov,23, 2020,225,SA News
208,Can the SPAC-tacular returns in the EV space ride on?,Sat,Nov,21, 2020,158,SA News
209,XPeng takes the lidar route with autonomous driving,Sat,Nov,21, 2020,86,SA News
210,Too far too fast? Tesla’s 20% surge this week sparks EV fever: Alpha Tactics,Sat,Nov,21, 2020,177,SA News
211,Consumer Reports warns on EV reliability in new report,Thu,Nov,19, 2020,381,SA News
212,"Biden's vote for climate change makes these stocks, ETFs attractive",Thu,Nov,19, 2020,237,SA News
213,Tesla higher after Morgan Stanley points to huge 'internet-of-cars' upside,Wed,Nov,18, 2020,213,SA News
